Spell Name,Element,Effect/Lore,Combos,Attack,Modifier,modifer description
Rockslide,Earth,Causes a rockslide that crashes down on enemies,8,7,1.04%,
Earthen Grasp,Earth,Summons an earthen hand to grip and crush a foe,8,7,1.04%,
Pillar of Stone,Earth,Raises a towering stone pillar to block attacks,6,10,1.04%,
Guardian’s Embrace,Earth,Forms a defensive shell of hardened rock,5,9,1.04%,
Crumbling Impact,Earth,"Shatters the ground beneath foes, knocking them down",10,9,1.04%,
Tectonic Rift,Earth,"Opens a massive rift in the ground, swallowing enemies",5,1,1.04%,
Earthen Spikes,Earth,Launches spikes of hardened rock from below,2,2,1.04%,
Mountain’s Embrace,Earth,Encases the caster in a protective shell of stone,2,10,1.04%,
Gaia’s Wrath,Earth,Unleashes the wrath of nature in an earthquake,10,1,1.04%,
Stoneskin,Earth,Hardens the caster’s skin into near-impervious rock,9,3,1.04%,
Earthen Grasp,Earth,Summons a giant stone hand to crush enemies,4,3,1.04%,
Landslide,Earth,Triggers a massive landslide to bury opponents,3,2,1.04%,
Obsidian Spikes,Earth,Summons razor-sharp obsidian spikes from the ground,2,6,1.04%,
Golem’s Might,Earth,Empowers the caster with the unstoppable force of a golem,6,1,1.04%,
Seismic Wave,Earth,Sends out a shockwave of earth-shattering force,1,2,1.04%,
Boulder Toss,Earth,Throws a massive boulder at high velocity,3,4,1.04%,
Crystalline Armor,Earth,Encases the caster in diamond-hard crystal armor,5,4,1.04%,
Root Snare,Earth,"Roots sprout from the ground, trapping multiple foes",5,8,1.04%,
Petrification Ray,Earth,Turns an enemy into stone temporarily,1,4,1.04%,
Colossal Tremor,Earth,Causes a colossal earthquake that reshapes terrain,5,5,1.04%,
Stone Slam,Earth,"Slams the ground, creating shockwaves",2,10,1.04%,
Terra Bind,Earth,Traps an enemy’s feet in hardened stone,7,1,1.04%,
Earthen Shield,Earth,Creates a barrier of solid rock to absorb damage,8,2,1.04%,
Seismic Rupture,Earth,Causes the earth to split and shake violently,10,6,1.04%,
Mountain's Wrath,Earth,Summons a giant fist of rock to crush enemies,4,6,1.04%,
Emberstrike,Fire,Strikes an enemy with a burst of searing embers,4,1,1.04%,
Molten Barrage,Fire,Launches a rapid barrage of molten fireballs,5,1,1.04%,
Wildfire Spiral,Fire,Summons a spiraling inferno that engulfs foes,6,8,1.04%,
Infernal Chains,Fire,"Binds an enemy in flaming chains, restricting movement",3,8,1.04%,
Blazing Nova,Fire,"Erupts in a fiery explosion, damaging all nearby enemies",9,9,1.04%,
Crimson Blaze,Fire,Unleashes a roaring blaze that engulfs enemies,3,3,1.04%,
Ashen Storm,Fire,Summons a storm of hot ash that blinds foes,3,9,1.04%,
Volcanic Fury,Fire,Creates a violent eruption of lava and fire,10,9,1.04%,
Hellfire Torrent,Fire,Fires a torrent of hellish flames in a straight line,3,7,1.04%,
Flame Rebirth,Fire,Revives the caster in a burst of holy fire,2,4,1.04%,
Infernal Blast,Fire,Launches a concentrated blast of fire that detonates on impact,7,8,1.04%,
Pyroclasm,Fire,Erupts fiery shockwaves that spread outward in bursts,8,3,1.04%,
Cinderstorm,Fire,Summons a swirling storm of burning cinders,5,5,1.04%,
